ID,System,Section/File,Text,Interpreted constraint,Type
ANT-1,apache-ant-1.10.6,https://ant.apache.org/manual/using.html#filters,"A project can have a set of tokens that might be automatically expanded if found when a file is copied, when the filtering-copy behavior is selected in the tasks that support this",has Task.filteringCopy,dual-value-comparison
ANT-2,apache-ant-1.10.6,using.html#buildfile,"A project has three attributes:
...
default | the default target to use when no target is supplied.",if target is not present,dual-value-comparison
ANT-3,apache-ant-1.10.6,using.html#buildfile,"Since Ant 1.8.0, path has an optional cache attribute, if it is set to true, the path instance will only scan its nested resource collections once and assume it doesn't change during the build anymore (the default for cache still is false)",Path.cache = true,dual-value-comparison
ANT-4,apache-ant-1.10.6,using.html#buildfile,"Since Ant 1.8.0, path has an optional cache attribute, if it is set to true, the path instance will only scan its nested resource collections once and assume it doesn't change during the build anymore (the default for cache still is false)",default Path.cache = false,concrete-value
ANT-5,apache-ant-1.10.6,running.html#commandline,"When no arguments are specified, Ant looks for a build.xml file in the current directory and, if found, uses that file as the build file and runs the target specified in the default attribute of the <project> tag.",if build.xml found,dual-value-comparison
ANT-6,apache-ant-1.10.6,targets.html#targets,"Targets without such a description are deemed internal and will not be listed, unless either the -verbose or -debug option is used.",if -verbose used,dual-value-comparison
ANT-7,apache-ant-1.10.6,running.html#sysprops,ant.XmlLogger.stylesheet.uri | filename (default log.xsl),default ant.XmlLogger.stylesheet.uri = log.xsl,concrete-value
ANT-8,apache-ant-1.10.6,Tasks/dependset.html,"If any of the sources has been modified more recently than any of the target files, all of the target files are removed.",if source.has_been_modified_more_recently,dual-value-comparison
ANT-9,apache-ant-1.10.6,Tasks/dependset.html,At least one set of sources and one set of targets is required.,amountOfSetsSources > 0,value-comparison
ANT-10,apache-ant-1.10.6,Tasks/unpack.html,"If dest is a directory the name of the destination file is the same as src (with the .gz, .bz2 or .xz extension removed if present).",if dest is directory,dual-value-comparison
ANT-11,apache-ant-1.10.6,Tasks/unpack.html,"If dest is omitted, the parent dir of src is taken. ",if dest not present,dual-value-comparison
ANT-12,apache-ant-1.10.6,Tasks/javac.html,defaultexcludes | Indicates whether default excludes should be used or not (yes|no).,"options for javac.defaultexcludes = yes, no",dual-value-comparison
ANT-13,apache-ant-1.10.6,Tasks/javac.html,"executable | Complete path to the javac executable to use in case of fork is yes.
Since Ant 1.6 this attribute can also be used to specify the path to the executable when using jikes, jvc, gcj or sj.",if javac.fork = yes,dual-value-comparison
ANT-14,apache-ant-1.10.6,Tasks/jar.html,"When set to yes, the JAR file is updated with the files specified.",if jar.update = yes,dual-value-comparison
ANT-15,apache-ant-1.10.6,Tasks/jar.html,"If the manifest is omitted, a simple one will be supplied by Apache Ant.",if manifest is not present,dual-value-comparison
ANT-16,apache-ant-1.10.6,Tasks/jar.html,"whenmanifestonly | behavior when no files match. Valid values are fail, skip, and create. | No; defaults to create",default jar.whenmanifestonly = create,concrete-value
ANT-17,apache-ant-1.10.6,Tasks/java.html,jar | the location of the jar file to execute (must have a Main-Class entry in the manifest). fork must be set to true if this option is selected. See notes below for more details.,if java.fork = true,dual-value-comparison
ANT-18,apache-ant-1.10.6,Tasks/java.html,fork | if enabled triggers the class execution in another JVM.,if java.fork = true,dual-value-comparison
ANT-19,apache-ant-1.10.6,clonevm.html,"If the value of the property is true, then all system properties of the forked JVM will be the same as those of the JVM running Ant.",junit.clonevm = true,dual-value-comparison
ANT-20,apache-ant-1.10.6,sysclasspath.html,"If the property has not been set, it defaults to ignore in this case.",default build.sysclasspath = ignore,concrete-value
ANT-21,apache-ant-1.10.6,sysclasspath.html,"The values and their meanings are:
value meaning
only Only the system classpath is used and classpaths specified in build files, etc are ignored. This situation could be considered as the person running the build file knows more about the environment than the person writing the build file.
ignore The system classpath is ignored. This situation is the reverse of the above. The person running the build trusts the build file writer to get the build file right. This mode is recommended for portable scripts.
last The classpath is concatenated to any specified classpaths at the end. This is a compromise, where the build file writer has priority.
first Any specified classpaths are concatenated to the system classpath. This is the other form of compromise where the build runner has priority.","options for build.sysclasspath are only, ignore, last, first",categorical-value
ANT-22,apache-ant-1.10.6,dirset.html,"erroronmissingdir | Specify what happens if the base directory does not exist. If true a build error will happen, if false, the dirset will be ignored/empty. Since Apache Ant 1.7.1 | No; defaults to true (for backward compatibility reasons)",if dirset.erroronmissingdir = true,dual-value-comparison
ANT-23,apache-ant-1.10.6,dirset.html,"erroronmissingdir | Specify what happens if the base directory does not exist. If true a build error will happen, if false, the dirset will be ignored/empty. Since Apache Ant 1.7.1 | No; defaults to true (for backward compatibility reasons)",default dirset.erroronmissingdir = true,concrete-value
ANT-24,apache-ant-1.10.6,https://ant.apache.org/manual/targets.html#targets,"In the first example, if the module-A-present property is set (to any value, e.g. false), the target will be run. In the second example, if the module-A-present property is set (again, to any value), the target will not be run.",has If.property,dual-value-comparison
ANT-25,apache-ant-1.10.6,https://ant.apache.org/manual/targets.html#targets,"The optional description attribute can be used to provide a one-line description of this target, which is printed by the -projecthelp command-line option. Targets without such a description are deemed internal and will not be listed, unless either the -verbose or -debug option is used.",has Target.description,dual-value-comparison
ANT-26,apache-ant-1.10.6,https://ant.apache.org/manual/properties.html#propertyHelper,"Since Ant 1.8.0, you may instead use property expansion; a value of true (or on or yes) will enable the item","Property.value options are: yes, true, on",categorical-value
ANT-27,apache-ant-1.10.6,https://ant.apache.org/manual/properties.html#propertyHelper,"Since Ant 1.8.0, you may instead use property expansion; a value of true (or on or yes) will enable the item, while false (or off or no) will disable it","Property.value options are: no, false, off",categorical-value
ANT-28,apache-ant-1.10.6,running.html#sysprops,ant.executor.class | classname; default is org.apache.tools.ant.helper.DefaultExecutor,default ant.executor.class = org.apache.tools.ant.helper.DefaultExecutor,concrete-value
ANT-29,apache-ant-1.10.6,https://ant.apache.org/manual/using.html#projects,"A project has three attributes:
...
basedir | No; defaults to the parent directory of the buildfile, unless overridden by the project's basedir or the basedir property",default Project.basedir = Buildfile.parentDir,concrete-value
ANT-30,apache-ant-1.10.6,Tasks/javac.html,"Valid values for either the build.compiler property or the compiler attribute are:

classic (the standard compiler of JDK 1.1/1.2) – javac1.1 and javac1.2 can be used as aliases.
modern (the standard compiler of JDK 1.3 and later) – javac1.3, javac1.4, javac1.5 and javac1.6, javac1.7 (since Ant 1.8.2), javac1.8 (since Ant 1.8.3), javac1.9 (since Ant 1.9.5), javac9 (since Ant 1.9.8) and javac10+ (since Ant 1.10.2) can be used as aliases.
jikes (the Jikes compiler).
jvc (the Command-Line Compiler from Microsoft's SDK for Java / Visual J++) – microsoft can be used as an alias.
kjc (the kopi compiler).
gcj (the gcj compiler from GCC).
sj (Symantec Java compiler) – symantec can be used as an alias.
extJavac (run either modern or classic in a JVM of its own).","options for javac.compiler = classic, modern, jikes, jvc, kjc, gcj, sj, extJavac",categorical-value
ANT-31,apache-ant-1.10.6,Tasks/jar.html,"whenmanifestonly | behavior when no files match. Valid values are fail, skip, and create. | No; defaults to create","options for jar.whenmanifestonly = fail, skip, create",categorical-value
ANT-32,apache-ant-1.10.6,https://ant.apache.org/manual/targets.html#targets,"A target has the following attributes:
...
onMissingExtensionPoint | What to do if this target tries to extend a missing extension-point. (fail, warn, ignore)","Target.onMissingExtensionPoint options: fail, warn, ignore",categorical-value
GUA-1,guava-28.0,https://github.com/google/guava/wiki/UsingAndAvoidingNullExplained#making-an-optional,"Each of these are static methods on Optional.
...
Optional.of(T) | Make an Optional containing the given non-null value, or fail fast on null.",Checks that the argument is non-null,dual-value-comparison
