Constraint ID,Pattern,File/Lines,Type
ANT-1,boolean-property,org/apache/tools/ant/taskdefs/Copy.java:875,manual
ANT-1,boolean-property,org/apache/tools/ant/taskdefs/Copy.java:953,tool-assisted
ANT-1,boolean-property,org/apache/tools/ant/taskdefs/Move.java:240,tool-assisted
ANT-1,boolean-property,org/apache/tools/ant/taskdefs/Move.java:342,tool-assisted
ANT-10,boolean-property,org/apache/tools/ant/taskdefs/Unpack.java:141,manual
ANT-11,null-check,org/apache/tools/ant/taskdefs/Unpack.java:133,manual
ANT-12,equals-or-chain,org/apache/tools/ant/Project.java:1722,manual
ANT-13,boolean-property,org/apache/tools/ant/taskdefs/Javac.java:911,manual
ANT-13,boolean-property,org/apache/tools/ant/taskdefs/Javac.java:909,tool-assisted
ANT-13,boolean-property,org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java:269,tool-assisted
ANT-13,boolean-property,org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java:280,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:729,manual
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Jar.java:508,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:695,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:699,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:764,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:780,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:785,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:875,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1330,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1353,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1387,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1446,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1453,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1507,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1533,tool-assisted
ANT-14,boolean-property,org/apache/tools/ant/taskdefs/Zip.java:1540,tool-assisted
ANT-15,boolean-property,org/apache/tools/ant/taskdefs/Jar.java:491,manual
ANT-15,boolean-property,org/apache/tools/ant/taskdefs/Jar.java:511,tool-assisted
ANT-16,assign-constant,org/apache/tools/ant/taskdefs/Jar.java:186,manual
ANT-16,assign-constant,org/apache/tools/ant/taskdefs/Ear.java:49,tool-assisted
